Iteracion 	 mejor fitness encontrado 
0	4299
1	4299
2	4003
3	4003
4	4003
5	4003
6	3995
7	3682
8	3682
9	3682
10	3568
11	3568
12	3568
13	3568
14	3568
15	3568
16	3568
17	3568
18	3568
19	3568
20	3568
21	3568
22	3568
23	3568
24	3449
25	3449
26	3449
27	3449
28	3449
29	3449
30	3449
31	3449
32	3449
33	3449
34	3449
35	3449
36	3449
37	3449
38	3441
39	3441
40	3441
41	3441
42	3441
43	3441
44	3441
45	3441
46	3441
47	3434
48	3434
49	3434
50	3434
51	3434
52	3357
53	3357
54	3357
55	3357
56	3357
57	3357
58	3357
59	3357
60	3357
61	3357
62	3349
63	3349
64	3349
65	3349
66	3349
67	3349
68	3349
69	3349
70	3349
71	3349
72	3349
73	3230
74	3230
75	3230
76	3230
77	3230
78	3230
79	3165
80	3165
81	3165
82	3165
83	3165
84	3165
85	3165
86	3165
87	3084
88	3084
89	3084
90	3084
91	3084
92	3004
93	3004
94	3004
95	3004
96	3004
97	3004
98	3004
99	3004
100	3004
101	3004
102	3004
103	3004
104	2996
105	2996
106	2996
107	2996
108	2996
109	2996
110	2996
111	2996
112	2996
113	2996
114	2996
115	2996
116	2996
117	2996
118	2996
119	2996
120	2996
121	2996
122	2996
123	2996
124	2996
125	2996
126	2996
127	2996
128	2996
129	2996
130	2996
131	2925
132	2925
133	2925
134	2925
135	2925
136	2925
137	2925
138	2923
139	2921
140	2919
141	2905
142	2905
143	2905
144	2905
145	2839
146	2839
147	2839
148	2839
149	2839
150	2839
151	2839
152	2839
153	2839
154	2839
155	2839
156	2839
157	2839
158	2839
159	2736
160	2736
161	2736
162	2736
163	2736
164	2736
165	2736
166	2736
167	2736
168	2736
169	2736
170	2726
171	2726
172	2726
173	2726
174	2726
175	2726
176	2726
177	2726
178	2726
179	2726
180	2726
181	2726
182	2726
183	2726
184	2726
185	2726
186	2726
187	2714
188	2714
189	2714
190	2714
191	2714
192	2714
193	2714
194	2680
195	2680
196	2680
197	2680
198	2680
199	2680
