Iteracion 	 mejor fitness encontrado 
0	3919
1	3919
2	3919
3	3919
4	3919
5	3919
6	3919
7	3919
8	3919
9	3919
10	3919
11	3919
12	3919
13	3919
14	3919
15	3919
16	3919
17	3452
18	3452
19	3452
20	3452
21	3452
22	3452
23	3452
24	3452
25	3452
26	3452
27	3452
28	3452
29	3452
30	3452
31	3452
32	3452
33	3452
34	3452
35	3452
36	3452
37	3452
38	3452
39	3452
40	3452
41	3452
42	3452
43	3452
44	3452
45	3452
46	3452
47	3452
48	3452
49	3452
50	3452
51	3452
52	3452
53	3452
54	3452
55	3452
56	3452
57	3452
58	3452
59	3452
60	3452
61	3452
62	3452
63	3452
64	3452
65	3452
66	3392
67	3392
68	3392
69	3392
70	3392
71	3392
72	3392
73	3392
74	3392
75	3392
76	3392
77	3392
78	3392
79	3392
80	3392
81	3392
82	3392
83	3392
84	3392
85	3392
86	3392
87	3392
88	3392
89	3392
90	3392
91	3392
92	3392
93	3392
94	3392
95	3392
96	3392
97	3392
98	3392
99	3392
100	3392
101	3392
102	3392
103	3392
104	3392
105	3392
106	3392
107	3392
108	3377
109	3377
110	3129
111	3129
112	3129
113	3129
114	3129
115	3129
116	3129
117	3129
118	3129
119	3129
120	3129
121	3129
122	3129
123	3129
124	3129
125	3129
126	3129
127	3129
128	3129
129	3129
130	3129
131	3129
132	3129
133	3129
134	3129
135	3129
136	3129
137	3129
138	3129
139	3129
140	3125
141	3125
142	3125
143	3125
144	3125
145	3125
146	3089
147	3089
148	3089
149	3089
150	3089
151	3089
152	3089
153	3062
154	3062
155	3062
156	3062
157	3062
158	3062
159	3062
160	3062
161	3062
162	3062
163	3062
164	3062
165	3062
166	3062
167	2934
168	2934
169	2934
170	2934
171	2934
172	2934
173	2934
174	2934
175	2934
176	2934
177	2934
178	2934
179	2934
180	2934
181	2934
182	2934
183	2934
184	2934
185	2934
186	2934
187	2934
188	2934
189	2934
190	2934
191	2934
192	2934
193	2934
194	2934
195	2934
196	2934
197	2934
198	2934
199	2934
