Iteración 	 tiempo de ejecución 
0	105.10857081413269
1	105.50729060173035
2	105.18560600280762
3	105.09825110435486
4	105.11390519142151
5	104.92127633094788
6	105.26829934120178
7	105.4120032787323
8	105.42758774757385
9	105.29529523849487
10	105.24430656433105
11	105.10585570335388
12	105.4938907623291
13	105.46382427215576
14	105.31076860427856
15	105.15950202941895
16	105.34456706047058
17	105.25049424171448
18	105.2168984413147
19	105.11376214027405
20	105.14900851249695
21	105.3012113571167
22	104.88249254226685
23	104.95841336250305
24	105.19398546218872
25	105.1453914642334
26	105.50591969490051
27	105.1539740562439
28	105.25291228294373
29	105.1555712223053
