Iteración 	 tiempo de ejecución 
0	106.63096380233765
1	105.81860327720642
2	102.45782828330994
3	105.6507568359375
4	106.19639730453491
5	105.47304463386536
6	105.57348299026489
7	105.05978727340698
8	106.81455302238464
9	105.23053789138794
10	105.89208650588989
11	104.26673293113708
12	106.85671615600586
13	106.46107745170593
14	105.97521781921387
15	104.89698481559753
16	104.86850500106812
17	104.50574898719788
18	104.67282438278198
19	105.40105319023132
20	104.66695713996887
21	103.90711998939514
22	106.77101707458496
23	104.70723748207092
24	106.07289338111877
25	104.98590397834778
26	103.72944641113281
27	104.45731544494629
28	106.4938976764679
29	104.68659591674805
