Iteración 	 tiempo de ejecución 
0	105.34373831748962
1	105.07473707199097
2	105.41124653816223
3	104.8623378276825
4	105.03708934783936
5	104.95193314552307
6	104.98450064659119
7	105.29867696762085
8	104.8368148803711
9	104.80719494819641
10	104.9543092250824
11	104.70458841323853
12	104.8009045124054
13	105.08981776237488
14	104.80152010917664
15	104.9148781299591
16	104.63244843482971
17	104.80397820472717
18	104.88973641395569
19	104.70300579071045
20	104.73701453208923
21	104.8243477344513
22	104.74127006530762
23	104.6101131439209
24	104.81457352638245
25	104.90604996681213
26	104.66892910003662
27	105.13477540016174
28	104.83624482154846
29	105.16856241226196
