Iteracion 	 mejor fitness encontrado 
0	3992
1	3992
2	3992
3	3601
4	3601
5	3601
6	3601
7	3601
8	3601
9	3601
10	3601
11	3601
12	3601
13	3601
14	3601
15	3601
16	3601
17	3601
18	3601
19	3601
20	3601
21	3376
22	3376
23	3376
24	3376
25	3376
26	3376
27	3376
28	3376
29	3376
30	3376
31	3376
32	3206
33	3206
34	3206
35	3206
36	3206
37	3206
38	3206
39	3206
40	3206
41	3206
42	3206
43	3206
44	3206
45	3206
46	3206
47	3206
48	3206
49	3206
50	3206
51	3206
52	3206
53	3206
54	3206
55	3039
56	3039
57	3039
58	3039
59	3039
60	3039
61	3039
62	3039
63	3039
64	3039
65	3039
66	3039
67	3039
68	3039
69	3039
70	3039
71	3039
72	3039
73	3039
74	3039
75	3039
76	3039
77	3039
78	3039
79	3039
80	3039
81	3039
82	3039
83	3039
84	3039
85	3039
86	3039
87	2952
88	2952
89	2952
90	2952
91	2952
92	2952
93	2952
94	2952
95	2952
96	2843
97	2843
98	2843
99	2843
100	2843
101	2843
102	2843
103	2843
104	2843
105	2843
106	2843
107	2843
108	2843
109	2843
110	2843
111	2843
112	2843
113	2843
114	2843
115	2843
116	2843
117	2843
118	2843
119	2843
120	2843
121	2843
122	2843
123	2708
124	2708
125	2708
126	2708
127	2708
128	2708
129	2708
130	2708
131	2708
132	2708
133	2708
134	2708
135	2708
136	2708
137	2708
138	2708
139	2698
140	2698
141	2698
142	2698
143	2698
144	2698
145	2698
146	2698
147	2698
148	2698
149	2698
150	2698
151	2698
152	2698
153	2698
154	2698
155	2698
156	2698
157	2698
158	2698
159	2698
160	2698
161	2698
162	2698
163	2698
164	2698
165	2698
166	2698
167	2698
168	2698
169	2698
170	2698
171	2698
172	2698
173	2698
174	2698
175	2698
176	2698
177	2698
178	2698
179	2698
180	2698
181	2698
182	2698
183	2698
184	2698
185	2698
186	2698
187	2698
188	2698
189	2698
190	2698
191	2698
192	2698
193	2698
194	2698
195	2698
196	2698
197	2698
198	2698
199	2698
