Iteracion 	 mejor fitness encontrado 
0	4005
1	3833
2	3833
3	3543
4	3515
5	3484
6	3260
7	2893
8	2835
9	2835
10	2780
11	2727
12	2672
13	2667
14	2624
15	2624
16	2561
17	2512
18	2404
19	2404
20	2404
21	2404
22	2404
23	2404
24	2404
25	2404
26	2404
27	2404
28	2404
29	2404
30	2404
31	2404
32	2404
33	2404
34	2404
35	2404
36	2404
37	2404
38	2404
39	2404
40	2404
41	2404
42	2404
43	2404
44	2404
45	2404
46	2404
47	2404
48	2404
49	2404
50	2404
51	2404
52	2404
53	2404
54	2404
55	2404
56	2404
57	2404
58	2404
59	2404
60	2404
61	2404
62	2404
63	2404
64	2404
65	2404
66	2404
67	2404
68	2404
69	2404
70	2404
71	2404
72	2404
73	2404
74	2404
75	2404
76	2404
77	2404
78	2404
79	2404
80	2404
81	2404
82	2404
83	2404
84	2404
85	2404
86	2404
87	2404
88	2404
89	2404
90	2404
91	2404
92	2404
93	2404
94	2404
95	2404
96	2404
97	2404
98	2404
99	2404
100	2404
101	2404
102	2404
103	2404
104	2404
105	2404
106	2404
107	2404
108	2404
109	2404
110	2404
111	2404
112	2404
113	2404
114	2404
115	2404
116	2404
117	2404
118	2404
119	2404
120	2404
121	2404
122	2404
123	2404
124	2404
125	2404
126	2404
127	2404
128	2404
129	2404
130	2404
131	2404
132	2404
133	2404
134	2404
135	2404
136	2404
137	2404
138	2404
139	2404
140	2404
141	2404
142	2404
143	2404
144	2404
145	2404
146	2404
147	2404
148	2404
149	2404
150	2404
151	2404
152	2404
153	2404
154	2404
155	2404
156	2404
157	2404
158	2404
159	2404
160	2404
161	2404
162	2404
163	2404
164	2404
165	2404
166	2404
167	2404
168	2404
169	2404
170	2404
171	2404
172	2404
173	2404
174	2404
175	2404
176	2404
177	2404
178	2404
179	2404
180	2404
181	2404
182	2404
183	2404
184	2404
185	2404
186	2404
187	2404
188	2404
189	2404
190	2404
191	2404
192	2404
193	2404
194	2404
195	2404
196	2404
197	2404
198	2404
199	2404
