Iteración 	 tiempo de ejecución 
0	42.41953253746033
1	44.621025800704956
2	47.437087535858154
3	44.769978046417236
4	42.1489999294281
5	45.89923906326294
6	42.037229776382446
7	42.19513821601868
8	43.494943141937256
9	42.27354884147644
10	45.924259662628174
11	42.230541706085205
12	43.62680006027222
13	43.210007429122925
14	46.0790069103241
15	42.21144485473633
16	42.09377837181091
17	43.636425733566284
18	44.669301986694336
19	42.24530839920044
20	43.72196078300476
21	45.784884452819824
22	42.0873761177063
23	42.15310049057007
24	44.65328645706177
25	42.31057572364807
26	43.38533973693848
27	44.76141715049744
28	42.088215589523315
29	42.41404628753662
