Iteracion 	 mejor fitness encontrado 
0	4088
1	4088
2	4088
3	4088
4	4060
5	4060
6	3881
7	3881
8	3881
9	3881
10	3881
11	3881
12	3881
13	3881
14	3881
15	3846
16	3489
17	3489
18	3489
19	3489
20	3489
21	3489
22	3489
23	3489
24	3489
25	3489
26	3489
27	3489
28	3489
29	3489
30	3489
31	3489
32	3489
33	3489
34	3489
35	3489
36	3489
37	3391
38	3391
39	3391
40	3391
41	3391
42	3391
43	3391
44	3391
45	3391
46	3320
47	3320
48	3320
49	3320
50	3260
51	3166
52	3166
53	3166
54	3166
55	3166
56	3166
57	3166
58	3166
59	3166
60	3166
61	3166
62	3166
63	3166
64	3166
65	3166
66	3166
67	3166
68	3157
69	3157
70	3157
71	3157
72	3157
73	3157
74	3157
75	3157
76	3157
77	3157
78	3157
79	3136
80	3136
81	3058
82	3058
83	3058
84	3058
85	3058
86	3058
87	3058
88	3058
89	3058
90	3058
91	3058
92	3044
93	3044
94	3044
95	3044
96	3044
97	3011
98	3011
99	3011
100	3011
101	3011
102	3011
103	2971
104	2959
105	2959
106	2959
107	2959
108	2959
109	2959
110	2959
111	2959
112	2959
113	2959
114	2959
115	2959
116	2959
117	2870
118	2870
119	2870
120	2870
121	2870
122	2870
123	2870
124	2870
125	2870
126	2870
127	2870
128	2870
129	2870
130	2870
131	2870
132	2870
133	2870
134	2870
135	2870
136	2870
137	2870
138	2870
139	2849
140	2849
141	2849
142	2849
143	2795
144	2795
145	2795
146	2795
147	2795
148	2795
149	2795
150	2795
151	2795
152	2795
153	2795
154	2795
155	2795
156	2789
157	2789
158	2789
159	2789
160	2789
161	2789
162	2680
163	2680
164	2680
165	2680
166	2680
167	2680
168	2680
169	2680
170	2680
171	2680
172	2680
173	2680
174	2680
175	2680
176	2680
177	2680
178	2680
179	2680
180	2680
181	2680
182	2680
183	2680
184	2680
185	2680
186	2680
187	2680
188	2680
189	2680
190	2680
191	2680
192	2680
193	2680
194	2680
195	2680
196	2680
197	2680
198	2680
199	2680
