Iteración 	 tiempo de ejecución 
0	103.90929746627808
1	106.72456789016724
2	104.77861285209656
3	104.64234805107117
4	104.44792151451111
5	104.54427218437195
6	105.37447619438171
7	103.86654853820801
8	105.14978408813477
9	104.06699848175049
10	104.55645895004272
11	105.38886213302612
12	106.23896837234497
13	104.24669289588928
14	103.5249195098877
15	102.8972692489624
16	103.51220226287842
17	104.65556955337524
18	106.09203863143921
19	104.40201997756958
20	104.52240681648254
21	105.19364333152771
22	104.37025499343872
23	104.22106528282166
24	102.89939665794373
25	103.56226444244385
26	104.93184280395508
27	105.003573179245
28	104.38494515419006
29	105.18839073181152
