Iteracion 	 mejor fitness encontrado 
0	4421
1	4421
2	3800
3	3674
4	3674
5	3674
6	3674
7	3674
8	3674
9	3674
10	3674
11	3635
12	3635
13	3624
14	3471
15	3466
16	3466
17	3466
18	3466
19	3466
20	3289
21	3289
22	3227
23	3227
24	3227
25	3227
26	3227
27	3227
28	3227
29	3227
30	3227
31	3227
32	3227
33	3227
34	3227
35	3137
36	3111
37	3040
38	3040
39	3040
40	2960
41	2960
42	2960
43	2960
44	2960
45	2960
46	2960
47	2909
48	2847
49	2847
50	2847
51	2847
52	2847
53	2847
54	2796
55	2796
56	2796
57	2790
58	2790
59	2790
60	2790
61	2790
62	2790
63	2790
64	2790
65	2790
66	2533
67	2533
68	2533
69	2533
70	2533
71	2533
72	2533
73	2533
74	2533
75	2533
76	2533
77	2533
78	2533
79	2533
80	2533
81	2533
82	2533
83	2533
84	2533
85	2533
86	2533
87	2533
88	2533
89	2533
90	2533
91	2533
92	2533
93	2533
94	2533
95	2533
96	2533
97	2533
98	2533
99	2533
100	2533
101	2533
102	2533
103	2533
104	2533
105	2533
106	2533
107	2533
108	2533
109	2533
110	2533
111	2533
112	2533
113	2533
114	2533
115	2533
116	2533
117	2533
118	2533
119	2533
120	2533
121	2533
122	2533
123	2533
124	2533
125	2533
126	2533
127	2533
128	2533
129	2533
130	2533
131	2533
132	2533
133	2533
134	2533
135	2533
136	2533
137	2533
138	2533
139	2533
140	2533
141	2533
142	2533
143	2533
144	2533
145	2533
146	2533
147	2533
148	2533
149	2533
150	2533
151	2533
152	2533
153	2533
154	2533
155	2533
156	2533
157	2533
158	2533
159	2533
160	2533
161	2533
162	2533
163	2533
164	2533
165	2533
166	2533
167	2533
168	2533
169	2533
170	2533
171	2533
172	2533
173	2533
174	2533
175	2533
176	2533
177	2533
178	2533
179	2533
180	2533
181	2533
182	2533
183	2533
184	2533
185	2533
186	2533
187	2533
188	2533
189	2533
190	2533
191	2533
192	2533
193	2533
194	2533
195	2533
196	2533
197	2533
198	2533
199	2533
