Iteración 	 tiempo de ejecución 
0	102.34145951271057
1	102.00461602210999
2	103.34666228294373
3	102.42814636230469
4	104.69269680976868
5	106.45612049102783
6	106.58542346954346
7	101.00505805015564
8	101.10125017166138
9	106.30225944519043
10	104.74410152435303
11	103.6350429058075
12	100.7900505065918
13	102.11968731880188
14	102.2821102142334
15	101.35255742073059
16	102.73610806465149
17	102.01563787460327
18	99.81275463104248
19	102.55231952667236
20	102.65291738510132
21	106.37120485305786
22	101.2675461769104
23	104.63340902328491
24	101.09081268310547
25	102.48037934303284
26	102.70431137084961
27	104.10451149940491
28	106.37407374382019
29	106.28770041465759
