Iteracion 	 mejor fitness encontrado 
0	4447
1	3983
2	3983
3	3983
4	3983
5	3983
6	3983
7	3983
8	3983
9	3818
10	3818
11	3818
12	3818
13	3818
14	3818
15	3818
16	3818
17	3818
18	3818
19	3818
20	3671
21	3671
22	3671
23	3671
24	3671
25	3671
26	3671
27	3671
28	3671
29	3671
30	3671
31	3541
32	3541
33	3541
34	3541
35	3541
36	3541
37	3541
38	3541
39	3541
40	3541
41	3541
42	3541
43	3464
44	3464
45	3464
46	3464
47	3464
48	3464
49	3464
50	3464
51	3464
52	3464
53	3004
54	3004
55	3004
56	3004
57	3004
58	3004
59	3004
60	3004
61	3004
62	3004
63	3004
64	3004
65	3004
66	3004
67	3004
68	3004
69	3004
70	3004
71	3004
72	3004
73	3004
74	3004
75	3004
76	3004
77	3004
78	3004
79	3004
80	3004
81	3004
82	3004
83	3004
84	3004
85	3004
86	3004
87	3004
88	2957
89	2957
90	2957
91	2957
92	2957
93	2957
94	2936
95	2773
96	2773
97	2773
98	2773
99	2773
100	2773
101	2695
102	2695
103	2695
104	2695
105	2695
106	2695
107	2695
108	2695
109	2695
110	2695
111	2695
112	2695
113	2695
114	2695
115	2695
116	2695
117	2695
118	2614
119	2614
120	2614
121	2614
122	2614
123	2614
124	2614
125	2614
126	2614
127	2614
128	2614
129	2614
130	2561
131	2561
132	2561
133	2561
134	2561
135	2561
136	2561
137	2459
138	2459
139	2459
140	2459
141	2459
142	2459
143	2459
144	2459
145	2459
146	2459
147	2459
148	2459
149	2459
150	2459
151	2459
152	2459
153	2451
154	2451
155	2451
156	2451
157	2451
158	2451
159	2404
160	2404
161	2404
162	2404
163	2404
164	2404
165	2404
166	2404
167	2404
168	2404
169	2404
170	2404
171	2404
172	2404
173	2404
174	2404
175	2404
176	2404
177	2404
178	2404
179	2404
180	2404
181	2404
182	2404
183	2404
184	2404
185	2404
186	2404
187	2404
188	2404
189	2404
190	2404
191	2404
192	2404
193	2404
194	2404
195	2404
196	2404
197	2404
198	2404
199	2404
