Iteración 	 tiempo de ejecución 
0	104.53857660293579
1	104.73010540008545
2	103.64035367965698
3	104.56379747390747
4	104.26382637023926
5	104.50976061820984
6	104.29851984977722
7	104.73681402206421
8	104.87640261650085
9	104.2728545665741
10	104.85916996002197
11	104.48433542251587
12	104.11752676963806
13	104.47785210609436
14	104.59296751022339
15	104.00028276443481
16	104.13830709457397
17	104.64737176895142
18	104.05347466468811
19	104.20375990867615
20	104.35929870605469
21	104.27860450744629
22	104.41557192802429
23	104.0964868068695
24	104.39015316963196
25	104.66588592529297
26	104.1767635345459
27	104.53584599494934
28	104.22830009460449
29	104.1412889957428
