Iteración 	 tiempo de ejecución 
0	104.61447429656982
1	104.84524250030518
2	104.31259346008301
3	104.37345838546753
4	104.53488492965698
5	104.3527102470398
6	104.67166447639465
7	104.56484913825989
8	104.08276605606079
9	104.6012852191925
10	104.24052405357361
11	104.57269215583801
12	104.62245750427246
13	104.18975758552551
14	104.63090968132019
15	104.00782537460327
16	104.65526938438416
17	104.62366247177124
18	104.45247721672058
19	104.081622838974
20	104.36117720603943
21	104.5721378326416
22	104.8726692199707
23	104.73699903488159
24	104.63172268867493
25	104.43477487564087
26	104.48698830604553
27	104.41933083534241
28	104.2416353225708
29	104.53570365905762
