Iteracion 	 mejor fitness encontrado 
0	4210
1	4210
2	4210
3	4210
4	4210
5	4210
6	4056
7	4056
8	4056
9	4056
10	3802
11	3802
12	3554
13	3554
14	3554
15	3554
16	3554
17	3554
18	3554
19	3554
20	3554
21	3554
22	3405
23	3405
24	3405
25	3405
26	3319
27	3319
28	3319
29	3319
30	3319
31	3319
32	3299
33	3299
34	3278
35	3181
36	3181
37	3073
38	3073
39	3070
40	2814
41	2814
42	2814
43	2814
44	2757
45	2757
46	2757
47	2757
48	2749
49	2749
50	2749
51	2749
52	2715
53	2715
54	2715
55	2715
56	2715
57	2694
58	2694
59	2615
60	2615
61	2615
62	2615
63	2615
64	2615
65	2566
66	2566
67	2566
68	2566
69	2566
70	2566
71	2566
72	2566
73	2566
74	2566
75	2566
76	2566
77	2566
78	2566
79	2566
80	2566
81	2566
82	2566
83	2566
84	2566
85	2566
86	2566
87	2566
88	2566
89	2566
90	2545
91	2545
92	2545
93	2545
94	2545
95	2545
96	2545
97	2545
98	2545
99	2545
100	2545
101	2545
102	2545
103	2545
104	2545
105	2545
106	2545
107	2545
108	2545
109	2545
110	2545
111	2545
112	2545
113	2545
114	2528
115	2528
116	2528
117	2528
118	2528
119	2528
120	2528
121	2528
122	2359
123	2359
124	2359
125	2359
126	2359
127	2359
128	2359
129	2359
130	2359
131	2359
132	2359
133	2359
134	2359
135	2359
136	2359
137	2359
138	2359
139	2359
140	2359
141	2359
142	2359
143	2359
144	2356
145	2356
146	2356
147	2356
148	2356
149	2356
150	2356
151	2356
152	2356
153	2356
154	2356
155	2356
156	2356
157	2356
158	2356
159	2356
160	2356
161	2356
162	2356
163	2356
164	2356
165	2356
166	2356
167	2356
168	2356
169	2356
170	2356
171	2356
172	2356
173	2356
174	2356
175	2356
176	2356
177	2356
178	2356
179	2356
180	2356
181	2356
182	2356
183	2356
184	2356
185	2356
186	2356
187	2356
188	2356
189	2356
190	2356
191	2356
192	2356
193	2356
194	2356
195	2356
196	2356
197	2356
198	2356
199	2356
